2025.11.16 08:55:36 WARN  Using H2 2.4.240 which is newer than the version Flyway has been verified with. The latest verified version of H2 is 2.3.232.
2025.11.16 08:55:36 INFO  no build target found for C:\Users\PC\Downloads\Proyecto_UrbanFeet1\src\main\java\com\urbanfeet_backend\Controller\ZapatillaController.java. Using fallback presentation compiler.
2025.11.16 08:55:36 INFO  no build target found for C:\Users\PC\Downloads\Proyecto_UrbanFeet1\src\main\java\com\urbanfeet_backend\Controller\ZapatillaController.java. Using fallback presentation compiler.
2025.11.16 08:55:36 INFO  no build target found for C:\Users\PC\Downloads\Proyecto_UrbanFeet1\src\main\java\com\urbanfeet_backend\Controller\ZapatillaController.java. Using fallback presentation compiler.
2025.11.16 08:55:37 INFO  no build target found for C:\Users\PC\Downloads\Proyecto_UrbanFeet1\src\main\java\com\urbanfeet_backend\Controller\ZapatillaController.java. Using fallback presentation compiler.
2025.11.16 08:55:41 INFO  no build target found for C:\Users\PC\Downloads\Proyecto_UrbanFeet1\src\main\java\com\urbanfeet_backend\Controller\ZapatillaController.java. Using fallback presentation compiler.
2025.11.16 08:55:41 INFO  no build target found for C:\Users\PC\Downloads\Proyecto_UrbanFeet1\src\main\java\com\urbanfeet_backend\Controller\ZapatillaVariacionController.java. Using fallback presentation compiler.
2025.11.16 08:55:41 INFO  no build target found for C:\Users\PC\Downloads\Proyecto_UrbanFeet1\src\main\java\com\urbanfeet_backend\Controller\ZapatillaVariacionController.java. Using fallback presentation compiler.
2025.11.16 08:55:47 INFO  no build target found for C:\Users\PC\Downloads\Proyecto_UrbanFeet1\src\main\java\com\urbanfeet_backend\Controller\ZapatillaVariacionController.java. Using fallback presentation compiler.
2025.11.16 08:55:47 INFO  no build target found for C:\Users\PC\Downloads\Proyecto_UrbanFeet1\src\main\java\com\urbanfeet_backend\Controller\ZapatillaVariacionController.java. Using fallback presentation compiler.
2025.11.16 08:55:48 INFO  no build target found for C:\Users\PC\Downloads\Proyecto_UrbanFeet1\src\main\java\com\urbanfeet_backend\Controller\ZapatillaVariacionController.java. Using fallback presentation compiler.
2025.11.16 08:55:50 INFO  no build target found for C:\Users\PC\Downloads\Proyecto_UrbanFeet1\src\main\java\com\urbanfeet_backend\Controller\ZapatillaVariacionController.java. Using fallback presentation compiler.
2025.11.16 08:55:53 INFO  no build target found for C:\Users\PC\Downloads\Proyecto_UrbanFeet1\src\main\java\com\urbanfeet_backend\Controller\ZapatillaVariacionController.java. Using fallback presentation compiler.
2025.11.16 08:55:53 INFO  no build target found for C:\Users\PC\Downloads\Proyecto_UrbanFeet1\src\main\java\com\urbanfeet_backend\Config\AppConfig.java. Using fallback presentation compiler.
2025.11.16 08:55:53 INFO  no build target found for C:\Users\PC\Downloads\Proyecto_UrbanFeet1\src\main\java\com\urbanfeet_backend\Config\AppConfig.java. Using fallback presentation compiler.
2025.11.16 08:55:59 INFO  no build target found for C:\Users\PC\Downloads\Proyecto_UrbanFeet1\src\main\java\com\urbanfeet_backend\Config\AppConfig.java. Using fallback presentation compiler.
